SN,Village,Gender,R_2_HH,HH_Size,Age,Ethnicity,Decisions,P_Decisions,Education,Experience,Owning_Livestock,Livestock_No,Livestock_value,Fodder_Exp,Veterinary_Exp,Enclosure_Exp,Hired_Lbr_Exp,Revenue,Land_Own,Land_Size,Land_Use,Cattle,Sheep,Chicken,Pigs,Dairy_Cattle,Dairy_Cattle_No,Grazing_location,Transport2Grazing,Travel_Time,Aquire_Grazig,Grazing_land_source,Grazing_land_purchase_cost,Rent_previous_season,Rented_years,LeasedGrazingExternal,Land_rent_income,Estmtd_rental_income,LandMoistureLevel,Land_fertility,GrazingWaterSource,irrigation_sources,Vet_distance_avg,Distance_to_village,OwnRadio,OwnTelevision,OwnPhone,OwnTransport,Men_labour_days,Men_labour_hours_per_day,Men_labour_workers_avg,men_labour_wage_per_day,Women_labour_days,Women_labour_hours_per_day,Women_labour_workers_avg,Women_labour_wage_per_day,Men_family_labour_days,Men_family_labour_hours_per_day,Men_family_labour_workers,Women_family_labour_days,Women_family_labour_hours_per_da,Women_family_labour_workers,Child_labour_days,Child_labour_hours_per_day,Child_labour_workers_avg,Herd_size,Rope_Qty,Feeds_Qty,Herd_Size_Exp,Rope_Exp,Cattle_feeds_exp,concentratesQty,Dairy_drugs_Qty,Improved_Breed_No,Dairy_Concrete_Exp,Dairy_Drug_Exp,Improved_breed_Exp,Hired_Labour_Exp,Production_Tools_Exp,Technology_Adoption,Cowshed_Type,Breeding_Type,Vet_Treatment_Adoption,Cleaning_activities,Vaccination_Adoption,Feed_Technology,Improved_herd_mngmt_desire,Herd_Mngmnt_Type,Information_Access,Information_Source,Extension_Participation,Extension_Type,Attitude_towards_technology,Technology_Ease_of_Use,Dairy_Technologies_Usefullness,Technology_Perceived_Cost,Leading_Companies_Favour,Important_People_Favour,Contractor_Favour,Intention_To_Adopt,Information_seeking_frequency,Decision_making_ability,Gvt_Ext_Office,Contractor,Input_Suplier,Farmer_Orgnztn,NGO,Agri_Agent_Cmnction,Info_Received,Adherence_to_advice,Land_use_advice,Planting_advice,Seed_use_advice,Fertilizer_advice,Other_advice,Extension_Exp,Milk_per_day,Milk_Days,Sold_Milk,Milk_Price,Milk_Buyer,Quality_Determiner,Home_Milk,Manure_Obtained,Sold_Manure,Manure_Price,milkproductivity,Total_Milk,Food_Exp,Meals_Per_Day,Hungry_Season_Duration,Food_Insecurity_Status,ContractFarming,YearsInContractFarming,Input_access,Market_access,Credit_access,Extension_services,Contract_Type,Copy_of_Contract,Contract_Formulation,AcresUnderContractFarming,Milk_Sale_Price,Amount_Produced,Livestock_Keeping_Area,Quality_of_Milk,Date_of_Milking,Inputs_to_be_Used,Contractor_Compliance,Contractor_Non_Compliance,Respondent_Compliance,Farmer_Non_compliance,Negotiations,Mediation,Reconciliation,Arbitration,Participation_Criteria,Private_companies,International_organizations,Local_Government_Authority,Individuals,contractors,Financial_Institution,Institution_Roles,Continue_Contract_Farming,Pay_For_Contract_Farming,Willing_To_Pay_Amount,Farmers_group,Group_size,Group_Experience,Market_System,Milk_Sale,Off_Farm_Work,Off_Farm_Work_Days,Employed_By,Received_Payment,Reason_4_Pay,Duration_4_Pay,Payment,Cultivate_Crop,Crop_Land,Maize,Beans,Sun_Flower,Crop_Production_Costs,Maize_Harvest,Beans_Haverst,Sun_Flower_Harvest,Maize_Consumption,Beans_Consumption,Sun_Flower_Consumption,Maize_Commercial,Beans_Commercial,Sun_Flower_Commercial,Maize_Revenue,Beans_Revenue,Sun_Flower_Revenue,Business_Operation,Business_Duration,Business_Type,Busiess_Cost,Business_Revenue,Availability_Dry_Fodder,Availability_Green_Fodder,Availability_Concentrates,Availability_Grazing_Land,Availability_Hired_labour,Availability_Vet_Treatment,Availability_AI,Availability_Vaccination,Availability_Rental_Land,Availability_Purchase_Land,Availability_Production_Tools,Liquidity_Dry_Fodder,Liquidity_Green_Fodder,LIquidity_Concentrates,Liquidity_Grazing_Land,Liquidity_Hired_labour,Liquidity_Vet_Treatment,Liquidity_AI,Liquidity_Vaccination,Liquidity_Rental_Land,Liquidity_Purchase_Land,Liquidity_Production_Tools,Risk_Tolerance,New_Breed_Adoption,Breed_Type,veterinary,milk_produced,Total_Milk_w,edu,lnage,lnexperience,Veterinary_Exp_w,Cattle_feeds_exp_w,lncatfeed_exp,lnVeterinary_Exp,extension1,extension,Distance_to_Town,Dairy_Cattle_No_w,AI,Vet_services,both,Hiredlbr_new,Vaccination_Adoption_01,HH_Size_w,Dairy_Concrete_Exp_w,production_tools,hiredlbr,Gender_1,Gender_2,Education_1,Education_2,Education_3,Education_4,OwnTelevision_1,OwnTelevision_2,AI_1,AI_2,Risk_Tolerance_1,Risk_Tolerance_2,Risk_Tolerance_3,extension_1,extension_2,Farmers_group_1,Farmers_group_2,ContractFarming_1,ContractFarming_2,Liquidity_Vet_Treatment_1,Liquidity_Vet_Treatment_2,Liquidity_Vet_Treatment_3,Liquidity_Vaccination1,Liquidity_Vaccination2,lnqtyfeeds,lnqtyconcrete,Land_fertility_1,Land_fertility_2,Decision_making_ability_1,Decision_making_ability_2,Decision_making_ability_3,Off_Farm_Work_1,Off_Farm_Work_2,Business_Operation_1,Business_Operation_2,vet_services,Information_seeking_frequency1,Information_seeking_frequency2,Information_seeking_frequency3,Liquidity_Vet_Treatment1,Liquidity_Vet_Treatment2,Liquidity_Vet_Treatment3,both1,both2,both3,Feeds_Qty_01,lnfeed,lnfeed1,Fodder_Exp_01,lnfodder,vetexp,vetvisits,Adherence,ATT,ATU
206,mshiri,Female,Head,3,69,Chagga,HH,Yes,Primary school,29,Yes,1,750000,0,0,,,648000,Yes,2.5,Animal keeping,Yes,,,,Yes,1,Within the village,By foot,,Owned it already,,,,,No,,,About the same,More fertile,No,,,42,Yes,No,Yes,No,,,,,,,,,,,,30,5,1,,,,1,1,200,,0,0,2,,0,24000,0,0,,No,No,,Natural,No,Regular cleaning,No,Recomended,No,Define calving season,No,,No,,Acceptable,Substantial restructuring,Advantageous,Yes,,,,,Never,Medium,,No,No,,,,,,,,,,,,2.5,30,540,1200,Neighbour,Seller,360,65,No,,900,900,668000,Three meals,,Moderate food insecure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Yes,Private buyers,No,,,,,,,Yes,.5,Yes,Yes,,120000,2.5,.6,,Yes,Yes,,Yes,,,90000,,,No,,,,,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,Somewhat constrained,No constraints,Somewhat constrained,No constraints,No constraints,Slightly constrained,No constraints,No constraints,No constraints,Severely constrained,No constraints,Risk neutral,Disagree,Local Breed,0,0,900,Primary education,4.2341065,3.3672957,0,0,,,No,No,42,1,No,No,non,0,No,3,24000,No,No,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,5.2983174,.69314718,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,200,5.2983174,5.2983174,143000,11.8706,0,0,Strongly disagree,679.74854,676.3349
207,mshiri,Female,Spouse,4,49,Chagga,HH & HM,Yes,Advanced secondary school,12,Yes,1,1200000,420000,80000,,720000,3312000,Yes,1.52,Crop cultivation,Yes,,,,Yes,1,Within the village,By foot,,Owned it already,,,,,No,,,More wet,More fertile,Yes,River/stream,,42,Yes,Yes,Yes,Yes,30,5,1,2000,,,,,,,,,,,,,,1,1,840,,0,360000,252,,1,252000,17000,0,,No,Yes,,Artificial insemination,Yes,Regular cleaning,Yes,Recomended,Yes,keep cattle health,Yes,Veterinary doctors,Yes,Training programs,Acceptable,Substantial restructuring,Improve profitability,Yes,Yes,Yes,Yes,Would adopt,Frequent,High,,No,Yes,,,Several times per month,Dairy production,Always exactly,,,,,,,13.5,30,4140,800,Contractor,Buyer,720,60,No,,4860,4860,2600000,Three meals,,Not food insecure,Yes,4,,,,,Verbal,,No,,,Yes,Yes,,,,No,Did not accept quality,Yes,,Yes,,,,Residence,Yes,,,,,,Market information,Yes,No,,Yes,15,More than 5 years,Yes,Contractors,Yes,230,NGO,Yes,,Per month,250000,Yes,.75,Yes,Yes,,275000,5,1,,Yes,Yes,,Yes,,,180000,,,No,,,,,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,Somewhat constrained,No constraints,Somewhat constrained,No constraints,No constraints,Slightly constrained,No constraints,No constraints,No constraints,Severely constrained,No constraints,Risk seeking,Strongly agree,Improved Breed,1,0,4860,Secondary & above education,3.8918202,2.4849067,17000,360000,12.793859,9.7409687,Yes,Yes,42,1,Yes,Yes,both,720000,Yes,4,252000,No,Yes,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,6.7334018,5.529429,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,840,6.7334018,6.7334018,420000,12.94801,80000,6,Strongly agree,3240.8376,3189.3684
208,mshiri,Female,Spouse,4,56,Chagga,HH & HM,Yes,Primary school,26,Yes,1,750000,0,22000,,,504000,Yes,.75,Animal keeping,Yes,,,,,1,Within the village,By foot,,Owned it already,,,,,No,,,More wet,More fertile,No,,,42.5,Yes,Yes,Yes,No,,,,,,,,,,,,30,4,1,,,,1,1,123,,0,52000,32,,1,45000,22000,0,,No,Yes,,Natural,Yes,Regular cleaning,No,Recomended,No,keep cattle health,Yes,Veterinary doctors,No,,Wise,Large effort in training/advice,Improve profitability,Yes,,,,,Never,Medium,,No,Yes,,,Several times per month,Dairy production,Rarely,,,,,,,3.5,30,420,1200,Neighbour,Seller,315,60,No,,735,735,770000,Three meals,,Moderate food insecure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Yes,Private buyers,No,,,,,,,Yes,.25,Yes,Yes,,70000,1,.25,,Yes,Yes,,,,,,,,No,,,,,No constraints,No constraints,No constraints,No constraints,Slightly constrained,No constraints,No constraints,No constraints,Slightly constrained,Severely constrained,No constraints,Somewhat constrained,No constraints,Slightly constrained,No constraints,No constraints,Slightly constrained,No constraints,No constraints,No constraints,Severely constrained,No constraints,Risk averse,Disagree,Local Breed,1,0,735,Primary education,4.0253515,3.2580965,22000,52000,10.858999,9.9987974,Yes,Yes,42.5,1,No,No,either,0,No,4,45000,No,No,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,4.8121843,3.4657359,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,123,4.8121843,4.8121843,110000,11.608235,22000,3,Agree,844.55573,610.47479
209,mshiri,Male,Head,7,63,Chagga,HH & HM,Yes,Ordinary secondary school,35,Yes,2,1500000,420000,55000,,,576000,Yes,2,Animal keeping,Yes,Yes,Yes,,Yes,1,Within the village,By foot,,Owned it already,,,,,No,,,More wet,More fertile,No,,,43,Yes,Yes,Yes,No,,,,,,,,,30,3,1,,,,20,2,4,2,2,280,,0,120000,70,,1,84000,30000,25000,,No,Yes,,Artificial insemination,Yes,Regular cleaning,No,Recomended,No,keep cattle health,Yes,Veterinary doctors,No,,Acceptable,Large effort in training/advice,Advantageous,Yes,,,,,Less Frequent,Medium,,No,No,,,,,,,,,,,,4.5,30,480,1200,Neighbour,Seller,600,110,No,,1080,1080,1700000,Three meals,,Low food insecure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Yes,Private buyers,No,,,,,,,Yes,2,Yes,Yes,,400000,14,3,,Yes,Yes,,Yes,,,630000,,,No,,,,,Slightly constrained,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,Somewhat constrained,No constraints,Slightly constrained,No constraints,No constraints,Slightly constrained,No constraints,No constraints,No constraints,Severely constrained,No constraints,Risk neutral,Agree,Improved Breed,1,0,1080,Secondary & above education,4.1431346,3.5553482,55000,120000,11.695247,10.915089,No,No,43,1,Yes,No,either,0,No,7,84000,No,No,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,5.6347895,4.2484951,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,580,6.363028,6.363028,420000,12.94801,30000,3,Agree,3267.4497,1821.7524
210,mshiri,Female,Spouse,3,79,Chagga,HH & HM,Yes,Primary school,45,Yes,1,700000,0,25000,,,1296000,Yes,1.5,Animal keeping,Yes,,,,Yes,1,Within the village,By foot,,Owned it already,,,,,No,,,More wet,More fertile,No,,,43,Yes,No,Yes,No,,,,,,,,,30,2,1,30,4,1,,,,1,1,210,,0,90000,45,,1,62000,25000,0,,No,Yes,,Artificial insemination,No,Regular cleaning,No,Recomended,No,Maintain accurate record,,,No,,Wise,Substantial restructuring,Advantageous,Yes,,,,,Less Frequent,Medium,,No,No,,,,,,,,,,,,4,30,1080,1200,Neighbour,Seller,360,65,No,,1440,1440,1100000,Three meals,,Not food insecure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Yes,Private buyers,No,,,,,,,Yes,.75,Yes,,,150000,4,,,Yes,,,,,,,,,No,,,,,Somewhat constrained,No constraints,No constraints,No constraints,Somewhat constrained,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,Somewhat constrained,Slightly constrained,No constraints,No constraints,No constraints,Slightly constrained,No constraints,No constraints,No constraints,Severely constrained,Slightly constrained,Risk neutral,Agree,Improved Breed,0,0,1440,Primary education,4.3694477,3.8066626,0,90000,11.407565,,No,No,43,1,Yes,No,non,0,No,3,62000,No,No,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,5.3471074,3.8066626,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,578,6.3595738,6.3595738,130000,11.77529,25000,3,Agree,2787.9678,1554.1691
211,lyasongoro,Female,Spouse,6,31,Chagga,HH & HM,Yes,Primary school,8,Yes,3,3000000,660000,64000,,360000,4306000,Yes,1,Animal keeping,Yes,,,,Yes,3,Within the village,By foot,,Owned it already,,,,,No,,,More wet,More fertile,No,,,43,Yes,Yes,Yes,Yes,30,1,1,1000,,,,,,,,30,2,1,,,,3,3,840,,0,1351500,60,,2,180000,24000,40000,360000,No,Yes,,Artificial insemination,Yes,Regular cleaning,Yes,Recomended,No,keep cattle health,Yes,Veterinary doctors,Yes,Training programs,Acceptable,Substantial restructuring,Advantageous,Yes,Yes,Yes,Yes,Would adopt,Frequent,High,,Yes,No,,,Several times per month,Dairy production,Always exactly,,,,,,,18,30,3840,900,Contractor,Buyer,480,,No,,1440,4320,1300000,Three meals,,Not food insecure,No,7,,,,,Verbal,,No,,,Yes,Yes,,,,Yes,,Yes,,Yes,,,,Residence,Yes,,,,,,Market information,Yes,No,,No,,,Yes,Contractors,No,,,,,,,Yes,.25,Yes,Yes,,60000,1,.5,,Yes,Yes,,,,,,,,No,,,,,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,No constraints,No constraints,Somewhat constrained,No constraints,No constraints,No constraints,No constraints,No constraints,No constraints,Severely constrained,No constraints,Risk seeking,Strongly agree,Improved Breed,1,0,4320,Primary education,3.4339871,2.0794415,64000,555000,13.226724,11.066638,Yes,Yes,43,3,Yes,Yes,both,360000,Yes,6,180000,No,Yes,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,1,0,0,1,0,6.7334018,4.0943446,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1120,7.0210838,7.0210838,660000,13.399995,8000,1,Disagree,3798.5659,4214.3755
212,arisi,Female,Spouse,4,68,Chagga,HH & HM,Yes,Primary school,35,Yes,1,850000,120000,27000,,,2610000,Yes,1.5,Animal keeping,Yes,,,,Yes,1,Within the village,By foot,0,Owned it already,,,,,No,,,About the same,About the same,No,,,41,Yes,No,Yes,No,,,,,,,,,30,2,1,30,3,1,,,,2,2,252,0,0,162,6,,1,36000,27000,0,,No,Yes,,Artificial insemination,Yes,Regular cleaning,Yes,Traditional,Yes,keep cattle health,Yes,Other entrepreneurs,No,,,,,,,,,,Less Frequent,Medium,,No,Yes,,,Once per year,Dairy production,Sometimes,,,,,,0,7,30,1800,1200,Neighbour,Seller,720,75,No,,2520,2520,1000000,Three meals,0,Low food insecure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Yes,Private buyers,No,,,,,,,Yes,.25,Yes,,,,1,,,Yes,,,,,,,,,No,,,,,No constraints,No constraints,No constraints,Severely constrained,Slightly constrained,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,Slightly constrained,No constraints,Somewhat constrained,No constraints,Slightly constrained,Slightly constrained,No constraints,No constraints,No constraints,Severely constrained,Slightly constrained,Risk neutral,Agree,Improved Breed,1,0,2520,Primary education,4.2195077,3.5553482,27000,162,5.0875964,10.203592,Yes,Yes,41,1,Yes,Yes,both,0,Yes,4,36000,No,No,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,5.529429,1.7917595,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1240,7.1228666,7.1228666,120000,11.695247,27000,3,Agree,2531.7844,1769.5206
213,arisi,Male,Head,4,57,Chagga,HH & HM,Yes,Ordinary secondary school,19,Yes,2,2000000,420000,51000,,,1440000,Yes,1.75,Animal keeping,Yes,,,Yes,Yes,1,Within the village,By foot,0,Owned it already,,,,,No,,,More wet,More fertile,No,,,42,Yes,Yes,Yes,No,,,,,,,,,30,4,1,30,2,1,,,,2,2,504,0,0,320000,12,,1,72000,26000,25000,,5700,Yes,,Artificial insemination,Yes,Regular cleaning,Yes,Traditional,Yes,Implement crossbreeding,Yes,Other entrepreneurs,Yes,Training programs,Acceptable,Substantial restructuring,Improve profitability,Yes,Yes,Yes,Yes,Would adopt,Frequent,Medium,,Yes,No,,,Several times per month,Dairy production,Mostly,,,,,,0,9,30,1800,800,Contractor,Buyer,360,130,No,,2160,2160,1200000,Three meals,0,Not food insecure,Yes,5,,Yes,,,Verbal,,No,,,Yes,Yes,,,,Yes,,Yes,,Yes,,,,Residence,Yes,,,,,,Market information,Yes,No,,Yes,6,Four years,Yes,Contractors,Yes,70,Private sector,Yes,,Per day,40000,No,,,,,,,,,,,,,,,,,,No,,,,,Slightly constrained,No constraints,No constraints,Severely constrained,No constraints,No constraints,No constraints,No constraints,Slightly constrained,Severely constrained,No constraints,Somewhat constrained,No constraints,Severely constrained,No constraints,Slightly constrained,Slightly constrained,No constraints,No constraints,No constraints,Somewhat constrained,Slightly constrained,Risk seeking,Agree,Improved Breed,1,0,2160,Secondary & above education,4.0430512,2.9444389,51000,320000,12.676076,10.839581,Yes,Yes,42,1,Yes,Yes,both,0,Yes,4,72000,Yes,No,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,6.2225761,2.4849067,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,870,6.7684932,6.7684932,420000,12.94801,26000,3,Agree,2869.2466,1442.0973
214,arisi,Male,Head,4,44,Chagga,HH,Yes,Ordinary secondary school,15,Yes,1,1100000,360000,49000,,,2128000,Yes,1.75,Animal keeping,Yes,,Yes,,Yes,1,Within the village,By foot,0,Owned it already,,,,,No,,,More wet,More fertile,No,,,42,Yes,Yes,Yes,No,,,,,,,,,30,3,1,30,3,1,,,,2,2,420,0,5000,270000,24,,1,144000,24000,25000,,9000,Yes,,Artificial insemination,Yes,Regular cleaning,Yes,Traditional,No,keep cattle health,Yes,Veterinary doctors,No,,Wise,Substantial restructuring,Advantageous,Yes,,,,,Less Frequent,Medium,,No,Yes,,,Once per year,Dairy production,Mostly,,,,,,0,7.5,30,1440,1200,Neighbour,Seller,360,100,No,,1800,1800,1400000,Three meals,0,Low food insecure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Yes,Private buyers,No,,,,,,,No,,,,,,,,,,,,,,,,,,Yes,12,6,3600000,6000000,No constraints,No constraints,No constraints,Slightly constrained,Slightly constrained,No constraints,No constraints,No constraints,Severely constrained,Severely constrained,No constraints,Slightly constrained,No constraints,Somewhat constrained,No constraints,Slightly constrained,Slightly constrained,No constraints,No constraints,No constraints,Severely constrained,Slightly constrained,Risk seeking,Agree,Improved Breed,1,0,1800,Secondary & above education,3.7841897,2.7080503,49000,270000,12.506177,10.799576,Yes,Yes,42,1,Yes,Yes,both,0,Yes,4,144000,Yes,No,0,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1,0,1,0,6.0402546,3.1780539,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,1,850,6.7452364,6.7452364,360000,12.793859,24000,3,Agree,2286.0293,1404.025
215,arisi,Female,Head,4,52,Pare,HH,Yes,Ordinary secondary school,21,Yes,1,950000,360000,53000,,720000,1862000,Yes,1.75,Animal keeping,Yes,Yes,Yes,,Yes,1,Within the village,By foot,0,Owned it already,,,,,No,,,More wet,More fertile,No,,,40,Yes,Yes,Yes,No,30,4,1,2000,,,,,,,,20,2,1,,,,2,2,420,0,10000,270000,12,,1,72000,28000,25000,720000,No,Yes,,Artificial insemination,Yes,Regular cleaning,Yes,Traditional,Yes,keep cattle health,Yes,Veterinary doctors,Yes,Training programs,,,,,Yes,Yes,,Would adopt,Frequent,High,,Yes,No,,,Several times per month,Dairy production,Always exactly,,,,,,0,9,30,1680,900,Contractor,Buyer,210,100,No,,1890,1890,1400000,Three meals,0,Low food insecure,Yes,5,,Yes,,,Verbal,,No,,,Yes,Yes,,,,No,Did not accept quality,Yes,,Yes,,,,Residence,,,,Yes,,,Market information,Yes,No,,Yes,6,Four years,Yes,Contractors,Yes,181,Central government,Yes,,Per month,850000,Yes,.5,Yes,Yes,,200000,5,.75,,Yes,Yes,,Yes,,,180000,,,No,,,,,No constraints,No constraints,No constraints,Severely constrained,Slightly constrained,No constraints,No constraints,No constraints,Somewhat constrained,Severely constrained,Slightly constrained,Slightly constrained,No constraints,Somewhat constrained,No constraints,Slightly constrained,Slightly constrained,No constraints,No constraints,No constraints,Severely constrained,Slightly constrained,Risk seeking,Agree,Improved Breed,1,0,1890,Secondary & above education,3.9512436,3.0445225,53000,270000,12.506177,10.878047,Yes,Yes,40,1,Yes,Yes,both,720000,Yes,4,72000,No,Yes,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,6.0402546,2.4849067,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,560,6.3279366,6.3279366,360000,12.793859,28000,3,Agree,1794.7844,1511.5629
216,arisi,Female,Spouse,6,67,Pare,HH & HM,Yes,Primary school,32,Yes,2,2000000,320000,76000,,,2992000,Yes,3,Animal keeping,Yes,Yes,Yes,,Yes,2,Within the village,By foot,0,Owned it already,,,,,No,,,More wet,More fertile,No,,,40,Yes,Yes,Yes,No,,,,,,,,,,,,30,2,1,30,2,3,3,3,840,0,5000,360000,125,,2,220000,26000,25000,,No,Yes,,Artificial insemination,Yes,Regular cleaning,Yes,Traditional,Yes,Implement crossbreeding,Yes,Other entrepreneurs,No,,Wise,Large effort in training/advice,Advantageous,Yes,Yes,Yes,Yes,Would adopt,Frequent,Medium,,Yes,No,,,Several times per month,Dairy production,Always exactly,,,,,,0,15,30,3240,800,Contractor,Buyer,360,140,No,,1800,3600,1600000,Three meals,0,Low food insecure,Yes,5,,Yes,,,Verbal,,No,,,Yes,Yes,,,,Yes,,Yes,,Yes,,,,Residence,,,,Yes,,,Market information,Yes,No,,Yes,6,Four years,Yes,Contractors,No,,,,,,,Yes,.5,Yes,Yes,,100000,4,.5,,Yes,Yes,,,,,,,,No,,,,,Slightly constrained,No constraints,No constraints,Severely constrained,No constraints,No constraints,No constraints,No constraints,Slightly constrained,Severely constrained,No constraints,Somewhat constrained,No constraints,Severely constrained,No constraints,Slightly constrained,Slightly constrained,No constraints,No constraints,No constraints,Severely constrained,Slightly constrained,Risk averse,Disagree,Improved Breed,1,0,3600,Primary education,4.2046928,3.4657359,76000,360000,12.793859,11.238488,Yes,Yes,40,2,Yes,Yes,both,0,Yes,6,220000,No,No,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,6.7334018,4.8283138,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,840,6.7334018,6.7334018,320000,12.676076,25500,3,Agree,2893.7053,3240.0164
217,arisi,Female,Head,3,75,Chagga,HH & HM,Yes,Advanced secondary school,51,Yes,2,1300000,0,4000,,,,Yes,2,Animal keeping,Yes,Yes,,,Yes,1,Within the village,By foot,0,Owned it already,,,,,No,,,More wet,More fertile,No,,,40,Yes,Yes,Yes,No,,,,,,,,,,,,30,3,1,30,2,2,2,2,320,0,10000,0,2,,0,12000,4000,0,,No,No,,Natural,No,Regular cleaning,No,Traditional,No,Define calving season,No,,No,,,,,,,,,,Never,Medium,,No,No,,,,,,,,,,,,2,30,,1200,Neighbour,Seller,480,120,No,,480,480,800000,Three meals,0,Low food insecure,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Yes,Private buyers,No,,,,,,,Yes,.5,Yes,Yes,,,2.5,.25,,Yes,Yes,,,,,,,,No,,,,,Slightly constrained,No constraints,No constraints,Somewhat constrained,Slightly constrained,No constraints,No constraints,No constraints,No constraints,Severely constrained,No constraints,Slightly constrained,No constraints,Somewhat constrained,No constraints,No constraints,Slightly constrained,No constraints,No constraints,No constraints,Severely constrained,No constraints,Risk neutral,Agree,Local Breed,1,0,480,Primary education,4.3174882,3.9318256,4000,0,,8.2940493,No,No,42,1,No,No,non,0,No,3,12000,No,No,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,5.768321,.69314718,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,320,5.768321,5.768321,95000,11.461632,4000,1,Disagree,1488.5302,912.68323
